論理トレーニング101題,,野矢茂樹,,産業図書,9784782801369,2020/12/03,１０１問のステップ・アップ。解説書なんかいくら読んだって論理の力は鍛えられないただ実技あるのみ。論理トレーニング第二弾。,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/7828/78280136.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/1338571/,2020/12/03,0,0
体系的に学ぶ 安全なWebアプリケーションの作り方 第2版,,徳丸 浩,,SBクリエイティブ,9784797393163,2020/12/02,Ｗｅｂアプリ開発者が知っておくべき、攻撃と防御の知識を徹底解説！ＰＨＰサンプルへの攻撃を通して、脆弱性が生まれる原理と具体的な対処法が学べる！日本中の現場で支持されたベストセラー待望の改訂版！最新環境にあわせて全面刷新＋大増ページ。ＯＷＡＳＰ　Ｔｏｐ　１０-２０１７対応。,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/3163/9784797393163.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/15472730/,2020/12/02,0,0
令和02年 イメージ＆クレバー方式でよくわかる 栢木先生のITパスポート教室,,栢木厚,,技術評論社,9784297110130,2020/12/02,内容に関連した、なごみイラストで頭をほぐしてからスタート。各節を短めに構成し、細切れ時間を有効活用できる。本文は広い範囲から試験に出るところだけを解説。例え話でイメージしやすい。役立つ囲み記事もたくさん。「ＡとくればＢ」方式で重要ポイントをひとまとめ。頭の整理がしやすい。１テーマごとの確認問題で覚えた知識をすぐ使うから、記憶が定着しやすく実力がつく。最新の試験問題も多数収録。,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0130/9784297110130.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/16107706/,2020/12/02,0,0
ほんとに、フォント。,,ingectar-e,,ソシム,9784802612081,2020/12/02,「魅せる文字と読ませる文字は意識して使い分ける」「イメージに合うフォントを取捨選択」-フォント力は最強の武器になる！指摘されるまで気づかない「文字」デザインがわかる本。,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/2081/9784802612081.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/15792443/,2020/12/02,0,0
HTML5＆CSS3ポケットリファレンス改訂新版,,森史憲/藤本壱,,技術評論社,9784774196107,2020/12/02,最新のＨＴＭＬ仕様に対応して増補改訂。ブログやサイトの制作・リニューアルに！実用性バツグン！目的別だから困ったときに引きやすい。ポケットサイズだから机の上でかさばらない。サンプルがシンプルでわかりやすい！しかも楽しい。開発者もナットクの技術情報をこの１冊に収録。,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/6107/9784774196107.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/15344593/,2020/12/02,0,0
プログラムはこうして作られる,,平山尚,,秀和システム,9784798039251,2020/12/02,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/9251/9784798039251.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/12481321/,2020/12/02,0,0
おうちで学べるサーバのきほん,,木下 肇,,翔泳社,9784798149387,2020/12/02,サーバはＩＴインフラに欠かせないものですが、近年は仮想化技術やクラウドの進歩もあり、その重要性はますます高まっています。特に昨今は「ＩｏＴ」という言葉に代表されるように、様々なデバイスがインターネットに接続されるようになり、サーバ周りの知識は必要不可欠になってきました。本書では、「サーバとは何か」「なぜ必要なのか」「どのような技術によって役割を実現しているのか」など、サーバの基礎の基礎を解説しています。,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/9387/9784798149387.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/14558700/,2020/12/02,0,0
Webを支える技術,,山本陽平,,技術評論社,9784774142043,2020/12/02,本書のテーマはＷｅｂサービスの実践的な設計。まず良いＷｅｂサービス設計の第一歩として、ＨＴＴＰやＵＲＩ、ＨＴＭＬなどの仕様を歴史や設計思想を織り交ぜて解説。そしてＷｅｂサービスにおける設計課題、たとえば望ましいＵＲＩ、ＨＴＴＰメソッドの使い分け、クライアントとサーバの役割分担、設計プロセスなどについて、現時点でのベストプラクティスを紹介。,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/2043/9784774142043.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/6385779/,2020/12/02,0,0
UIデザインの教科書［新版］ マルチデバイス時代のインターフェース設計,,原田 秀司,,翔泳社,9784798155456,2020/12/02,本書はＵＩにおけるデザインの定義から、ハードおよびソフトによる制約、人間の心理による影響、そして具体的にデザインを形にする方法までを、図や画像を使いながら、わかりやすく体系的に解説していきます。Ｗｅｂサイトの閲覧者やアプリのユーザーは、いつのまにか迷ったり、わからなくなったり、操作がしっくりこなかったりすることがあります。本書を読むと「わかりやすさ」と「使いやすさ」の要点がわかるので、ユーザーを迷わせない、最適なＵＩを見つけることができます。デザイナーはもちろん、エンジニア、ディレクター、発注者など、ＵＩ制作に関わる、あらゆる方におすすめの１冊です。,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/5456/9784798155456.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/15721586/,2020/12/02,0,0
ノンデザイナーズ・デザインブック ［第4版］,,RobinWilliams/吉川典秀,,マイナビ出版,9784839955557,2020/12/02,４つの基本原則。これを知るだけで、あなたのデザインはずっとぐっと、良くなります。プロで無くても、読みやすいデザイン、伝わるプレゼン資料、わかりやすいレイアウトを作りたい。そんなあなたのための、デザインの基本書。日本語版補足。日本語によるデザインサンプル、和文タイポグラフィ。１８年ずっと売れ続けているロングセラー、待望の第４版。,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/5557/9784839955557.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/14291225/,2020/12/02,0,0
